Matricula,Curso,CPF Aluno,Data da Matricula
1001,43,569.526.638-60,02/20/2022
1002,37,922.512.348-53,03/24/2022
1003,32,534.118.068-26,04/06/2022
1004,21,371.511.518-10,06/07/2022
1005,28,944.422.938-64,02/14/2022
1006,35,452.610.848-06,03/04/2022
1007,40,738.219.838-33,03/14/2022
1008,36,371.511.518-10,02/25/2022
1009,31,404.582.988-16,03/25/2022
1010,41,913.420.298-60,03/07/2022
1011,38,787.336.728-22,03/24/2022
1012,34,709.696.058-97,05/25/2022
1013,41,101.781.028-14,01/26/2022
1014,25,101.781.028-14,01/18/2022
1015,13,140.196.078-26,03/25/2022
1016,26,124.112.448-51,05/23/2022
1017,41,239.587.298-94,01/25/2022
1018,22,323.205.118-90,06/08/2022
1019,39,453.554.178-76,05/26/2022
1020,14,063.066.068-90,01/25/2022
1021,43,547.650.878-32,02/05/2022
1022,14,453.554.178-76,01/30/2022
1023,19,645.309.508-40,05/18/2022
1024,13,203.788.078-20,01/22/2022
1025,13,817.863.198-96,05/11/2022
1026,16,696.000.618-07,01/26/2022
1027,12,248.097.798-66,04/23/2022
1028,39,124.112.448-51,04/17/2022
1029,38,453.554.178-76,04/29/2022
1030,33,904.024.148-10,02/26/2022
1031,27,768.797.698-37,05/03/2022
1032,38,448.902.578-53,02/17/2022
1033,23,452.610.848-06,01/11/2022
1034,23,124.112.448-51,02/05/2022
1035,14,875.020.858-66,02/06/2022
1036,14,323.205.118-90,01/20/2022
1037,21,534.118.068-26,03/13/2022
1038,11,124.112.448-51,04/29/2022
1039,41,404.582.988-16,03/15/2022
1040,10,696.000.618-07,03/03/2022
1041,18,324.941.698-36,01/13/2022
1042,24,504.767.628-55,02/19/2022
1043,26,674.775.078-04,01/25/2022
1044,19,975.012.798-61,03/28/2022
1045,36,989.785.038-45,01/23/2022
1046,11,534.118.068-26,02/24/2022
1047,17,860.767.378-59,03/08/2022
1048,36,904.024.148-10,04/23/2022
1049,23,124.112.448-51,01/30/2022
1050,32,998.052.058-27,05/31/2022
1051,24,761.027.738-02,04/09/2022
1052,14,000.582.708-68,05/30/2022
1053,21,045.163.548-53,06/05/2022
1054,29,875.020.858-66,04/14/2022
1055,30,324.941.698-36,03/31/2022
1056,13,303.955.328-33,03/01/2022
1057,18,323.205.118-90,02/26/2022
1058,43,975.012.798-61,03/03/2022
1059,26,293.215.648-96,04/20/2022
1060,22,140.196.078-26,02/20/2022
1061,13,063.066.068-90,03/21/2022
1062,20,293.215.648-96,01/27/2022
1063,35,817.863.198-96,06/10/2022
1064,38,569.526.638-60,02/21/2022
1065,39,433.800.138-03,04/03/2022
1066,41,293.215.648-96,03/03/2022
1067,43,860.767.378-59,03/09/2022
1068,18,404.582.988-16,01/22/2022
1069,11,817.863.198-96,02/18/2022
1070,17,140.196.078-26,04/20/2022
1071,19,494.292.748-05,02/24/2022
1072,30,063.066.068-90,02/18/2022
1073,26,504.767.628-55,03/16/2022
1074,39,765.774.108-28,05/12/2022
1075,35,140.196.078-26,02/26/2022
1076,19,547.650.878-32,02/01/2022
1077,41,913.420.298-60,06/01/2022
1078,21,913.420.298-60,02/12/2022
1079,27,904.024.148-10,05/11/2022
1080,33,989.785.038-45,03/28/2022
1081,17,114.616.608-74,03/23/2022
1082,43,074.153.488-69,05/12/2022
1083,19,124.112.448-51,02/26/2022
1084,17,323.205.118-90,04/21/2022
1085,43,305.557.068-50,02/06/2022
1086,23,293.215.648-96,04/10/2022
1087,42,621.418.388-86,04/05/2022
1088,35,789.511.558-89,05/11/2022
1089,36,468.076.018-40,05/11/2022
1090,36,569.526.638-60,03/29/2022
1091,40,404.582.988-16,01/11/2022
1092,37,452.610.848-06,04/12/2022
1093,10,766.490.858-20,01/20/2022
1094,20,787.336.728-22,03/27/2022
1095,41,860.767.378-59,02/10/2022
1096,30,081.100.568-22,05/07/2022
1097,28,913.420.298-60,01/23/2022
1098,13,468.076.018-40,04/06/2022
1099,20,504.767.628-55,05/04/2022
1100,15,998.052.058-27,05/01/2022
1101,19,569.526.638-60,01/14/2022
1102,11,324.941.698-36,03/24/2022
1103,10,448.902.578-53,03/08/2022
1104,13,293.215.648-96,04/01/2022
1105,19,569.526.638-60,05/23/2022
1106,25,765.774.108-28,06/04/2022
1107,21,975.012.798-61,05/20/2022
1108,41,989.785.038-45,04/23/2022
1109,37,324.941.698-36,05/09/2022
1110,26,865.696.608-10,03/11/2022
1111,10,448.902.578-53,01/30/2022
1112,12,865.696.608-10,03/08/2022
1113,43,998.052.058-27,05/12/2022
1114,41,944.422.938-64,01/31/2022
